receivedAtUtc,runId,modVersion,netMode,netModeName,playerCount,ascension,totalFloor,runTime,isVictory,eligibleDefaultStats,actIndex,playerSlot,rarity,rarityName,rerollCount,option,optionName,selectedRune,selectedRuneName,isSelected
2026-04-26T04:57:27.091Z,0ecbae639c5b74443740a42f696677f103c174d7dbe5e9f9b8223268210a2ebf,0.4.0,Singleplayer,单人,1,3,1,39,0,0,0,0,Prismatic,棱彩,3,HAIL_TO_THE_KING_RUNE,尊我为王,HAIL_TO_THE_KING_RUNE,尊我为王,1
2026-04-26T04:57:27.091Z,0ecbae639c5b74443740a42f696677f103c174d7dbe5e9f9b8223268210a2ebf,0.4.0,Singleplayer,单人,1,3,1,39,0,0,0,0,Prismatic,棱彩,3,GLASS_CANNON_RUNE,玻璃大炮,HAIL_TO_THE_KING_RUNE,尊我为王,0
2026-04-26T04:57:27.091Z,0ecbae639c5b74443740a42f696677f103c174d7dbe5e9f9b8223268210a2ebf,0.4.0,Singleplayer,单人,1,3,1,39,0,0,0,0,Prismatic,棱彩,3,FAN_THE_HAMMER_RUNE,连拨击锤,HAIL_TO_THE_KING_RUNE,尊我为王,0
2026-04-26T04:58:26.968Z,3de2f5ae84e1f2a2bd3eeea6109c21a097ae9cab86741682cc13111829804c88,0.4.0,Singleplayer,单人,1,0,1,28,0,0,0,0,Prismatic,棱彩,2,PANDORAS_BOX_RUNE,潘朵拉的盒子,PANDORAS_BOX_RUNE,潘朵拉的盒子,1
2026-04-26T04:58:26.968Z,3de2f5ae84e1f2a2bd3eeea6109c21a097ae9cab86741682cc13111829804c88,0.4.0,Singleplayer,单人,1,0,1,28,0,0,0,0,Prismatic,棱彩,2,WATCH_OUT_GRAPEFRUIT_RUNE,当心小蛋糕,PANDORAS_BOX_RUNE,潘朵拉的盒子,0
2026-04-26T04:58:26.968Z,3de2f5ae84e1f2a2bd3eeea6109c21a097ae9cab86741682cc13111829804c88,0.4.0,Singleplayer,单人,1,0,1,28,0,0,0,0,Prismatic,棱彩,2,FAN_THE_HAMMER_RUNE,连拨击锤,PANDORAS_BOX_RUNE,潘朵拉的盒子,0
2026-04-26T05:03:27.664Z,502b08aef98aea82fe334aa96c4764fbad523c3e1fcc8659ca068675fe56f88c,0.4.0,Singleplayer,单人,1,10,2,50,0,0,0,0,Prismatic,棱彩,2,TRANSMUTE_CHAOS_RUNE,质变：混沌,FEY_MAGIC_RUNE,精怪魔法,0
2026-04-26T05:03:27.664Z,502b08aef98aea82fe334aa96c4764fbad523c3e1fcc8659ca068675fe56f88c,0.4.0,Singleplayer,单人,1,10,2,50,0,0,0,0,Prismatic,棱彩,2,EARTH_AWAKENS_RUNE,大地苏醒,FEY_MAGIC_RUNE,精怪魔法,0
2026-04-26T05:03:27.664Z,502b08aef98aea82fe334aa96c4764fbad523c3e1fcc8659ca068675fe56f88c,0.4.0,Singleplayer,单人,1,10,2,50,0,0,0,0,Prismatic,棱彩,2,FEY_MAGIC_RUNE,精怪魔法,FEY_MAGIC_RUNE,精怪魔法,1
2026-04-26T05:04:13.854Z,66a05f3d1b7a5fcca33fb7ab1529ba04eafe0f337c37805ea3b43e40acb0c13a,0.4.0,Singleplayer,单人,1,1,2,169,0,1,0,0,Silver,白银,2,STRENGTH_TO_DEXTERITY_RUNE,力量转敏捷,STRENGTH_TO_DEXTERITY_RUNE,力量转敏捷,1
